"","ID","Lat","Lon","Year","Miss Tmax","Miss Tmin","Miss Prcp","Avg Temp","Avg Tmax","Avg Tmin","ToT Prcp","Max Tmax","Min Tmax","Max Tmin","Min Tmin","Warm Days","Warm Nights","Cold Days","Cold Nights","Max 1-day P","Max 5-day P","Wet Days"
"1893-12-31","USW00094224",46.1569,-123.8825,1893,0,0,0,50.03,55.65,44.42,91.68,85,27,60,16,6.03,9.59,15.34,6.3,3.4,7.62,37.48
"1894-12-31","USW00094224",46.1569,-123.8825,1894,0,0,0,51,56.69,45.31,88.84,88,35,67,24,8.77,15.07,19.45,5.75,2.16,5.46,33
"1895-12-31","USW00094224",46.1569,-123.8825,1895,0,0,0,51.5,57.8,45.2,70.75,91,38,65,27,9.59,10.41,12.6,4.66,4.93,7.83,31.99
"1896-12-31","USW00094224",46.1569,-123.8825,1896,0,0,0,51.66,57.7,45.61,94.81,86,31,64,19,10.14,19.45,12.05,6.58,4.31,7.87,37.14
"1897-12-31","USW00094224",46.1569,-123.8825,1897,1,1,0,51.92,57.73,46.12,85.06,84,35,63,24,9.59,17.26,16.71,5.75,2.58,5.1,36.91
"1898-12-31","USW00094224",46.1569,-123.8825,1898,0,0,0,51.74,57.75,45.73,68.72,90,37,63,27,7.95,16.44,12.88,3.56,3.3,6.42,14.3
"1899-12-31","USW00094224",46.1569,-123.8825,1899,0,0,0,51.28,56.96,45.6,101.4,86,27,62,15,6.03,10.96,8.22,5.48,3.22,8.14,48.33
"1900-12-31","USW00094224",46.1569,-123.8825,1900,1,1,0,51.85,57.77,45.93,85.57,82,33,60,25,4.11,10.68,6.03,3.29,3.16,5.24,34.95
"1901-12-31","USW00094224",46.1569,-123.8825,1901,1,1,0,50.35,56.23,44.48,77.87,84,37,59,28,3.84,4.38,13.15,7.4,4.1,5.96,30.38
"1902-12-31","USW00094224",46.1569,-123.8825,1902,1,1,0,51.55,58.29,44.8,86.48,86,28,61,19,9.04,7.4,9.59,3.84,3.42,7.08,38.88
"1903-12-31","USW00094224",46.1569,-123.8825,1903,1,1,0,51.66,58.69,44.62,74.63,94,38,64,27,10.68,8.77,11.51,7.12,3.2,7.54,36.36
"1904-12-31","USW00094224",46.1569,-123.8825,1904,2,2,0,51.97,58.56,45.38,88.67,81,39,60,28,8.49,9.86,12.05,6.85,5.35,9.44,33.92
"1905-12-31","USW00094224",46.1569,-123.8825,1905,5,7,0,52.1,58.76,45.44,72.63,94,36,60,21,5.75,13.7,7.12,4.66,2.1,5.61,26.22
"1906-12-31","USW00094224",46.1569,-123.8825,1906,4,6,0,52.91,59.47,46.34,82.73,95,37,71,25,10.68,16.44,8.77,4.38,3.25,7.94,36.49
"1907-12-31","USW00094224",46.1569,-123.8825,1907,7,5,0,52.92,58.91,46.94,73.92,81,33,67,18,6.85,18.9,12.05,3.84,3.6,7.9,36.9
"1908-12-31","USW00094224",46.1569,-123.8825,1908,6,3,0,53.82,62.88,44.76,56.61,93,38,59,28,26.58,8.22,6.3,4.93,3.01,6.3,28.64
"1909-12-31","USW00094224",46.1569,-123.8825,1909,101,103,61,51.74,59.79,43.68,50.21,89,25,58,15,9.86,3.84,6.58,5.48,2.75,6.35,24.55
"1910-12-31","USW00094224",46.1569,-123.8825,1910,8,8,8,51.52,57.57,45.46,83.89,82,40,60,29,4.66,5.75,9.32,4.11,4.25,9.91,44.16
"1911-12-31","USW00094224",46.1569,-123.8825,1911,0,1,0,50.36,56.8,43.93,58.14,89,33,61,24,6.03,9.04,13.97,8.77,2.75,5.04,14.25
"1912-12-31","USW00094224",46.1569,-123.8825,1912,2,2,0,51.96,58.75,45.17,85.33,90,34,65,28,10.96,10.41,6.3,3.84,3.15,7,35.49
"1913-12-31","USW00094224",46.1569,-123.8825,1913,0,0,0,51.15,57.85,44.45,71.21,93,33,62,24,7.95,13.15,13.7,8.49,2.3,6.42,26.67
"1914-12-31","USW00094224",46.1569,-123.8825,1914,2,3,0,52.24,58.69,45.78,77.1,86,37,58,27,8.49,10.41,8.77,4.93,3.14,10.48,25.82
"1915-12-31","USW00094224",46.1569,-123.8825,1915,0,0,0,52.95,59.33,46.57,79.23,95,36,64,25,10.68,16.16,9.32,3.01,4.19,7.07,37.5
"1916-12-31","USW00094224",46.1569,-123.8825,1916,0,0,0,50.47,57.56,43.37,92.5,88,27,70,19,9.32,12.33,14.52,14.79,4.91,10.35,49.55
"1917-12-31","USW00094224",46.1569,-123.8825,1917,61,61,61,52.16,59.54,44.79,49.83,85,35,60,21,14.25,9.86,7.95,9.86,2.16,3.91,12.62
"1918-12-31","USW00094224",46.1569,-123.8825,1918,14,14,14,53.01,59.2,46.81,64.07,91,38,64,26,12.05,18.36,10.68,4.11,2.4,5.57,21.38
"1919-12-31","USW00094224",46.1569,-123.8825,1919,0,0,2,52.25,58.58,45.92,80.67,89,24,68,10,13.15,17.81,10.14,6.58,6.98,10.63,35.69
"1920-12-31","USW00094224",46.1569,-123.8825,1920,1,6,0,51.25,58.18,44.33,80.9,86,38,61,26,11.23,12.6,9.04,7.4,2.5,7.3,37.24
"1921-12-31","USW00094224",46.1569,-123.8825,1921,4,9,0,51.61,58.11,45.12,93.69,78,33,59,25,7.12,11.51,12.6,6.3,2.91,9,44.49
"1922-12-31","USW00094224",46.1569,-123.8825,1922,16,22,11,51.14,57.74,44.53,58.86,91,30,65,20,11.78,12.05,15.34,11.78,2.3,4.34,14.01
"1923-12-31","USW00094224",46.1569,-123.8825,1923,2,41,0,50.68,56.25,45.11,55.4,85,31,61,21,8.77,11.23,20.55,6.85,1.89,5.21,12.96
"1924-12-31","USW00094224",46.1569,-123.8825,1924,2,5,0,50.48,57.84,43.11,67.9,91,23,57,13,8.22,3.56,10.96,10.41,1.85,5.16,26.64
"1925-12-31","USW00094224",46.1569,-123.8825,1925,0,2,0,51.92,59.6,44.25,62.91,96,44,61,30,9.32,5.48,3.29,4.11,2.55,7.21,17.95
"1926-12-31","USW00094224",46.1569,-123.8825,1926,21,21,12,52.37,60.1,44.64,70.63,91,30,57,21,10.41,3.56,6.3,4.38,2.25,4.94,24.57
"1927-12-31","USW00094224",46.1569,-123.8825,1927,1,0,0,50.38,57.05,43.71,90.97,90,25,60,17,3.84,7.4,11.78,10.68,5,6.66,35.41
"1928-12-31","USW00094224",46.1569,-123.8825,1928,2,1,0,51.54,58.43,44.65,69.49,91,33,59,22,7.4,5.21,8.49,7.12,1.9,4.63,22.5
"1929-12-31","USW00094224",46.1569,-123.8825,1929,1,0,0,51.49,59,43.98,52.62,85,33,60,22,17.81,10.14,12.33,11.51,3.17,5.08,13.97
