"","ID","Lat","Lon","Year","Miss Tmax","Miss Tmin","Miss Prcp","Avg Temp","Avg Tmax","Avg Tmin","ToT Prcp","Max Tmax","Min Tmax","Max Tmin","Min Tmin","Warm Days","Warm Nights","Cold Days","Cold Nights","Max 1-day P","Max 5-day P","Wet Days"
"1896-12-31","USW00023183",33.4278,-112.0039,1896,0,0,0,70.26,84.19,56.34,9.76,115,53,84,28,8.77,11.23,8.22,13.7,1.48,2.07,9.15
"1897-12-31","USW00023183",33.4278,-112.0039,1897,0,0,0,68.82,82.88,54.75,11.03,110,45,85,23,4.66,9.32,17.81,19.18,1.9,3.34,10.21
"1898-12-31","USW00023183",33.4278,-112.0039,1898,0,0,0,69.76,83.65,55.87,5.95,111,36,87,23,8.49,14.25,15.89,16.71,1.12,1.66,5.04
"1899-12-31","USW00023183",33.4278,-112.0039,1899,0,0,0,69.71,83.72,55.7,5.19,112,46,84,24,8.22,13.15,10.14,12.33,1.04,1.28,4.52
"1900-12-31","USW00023183",33.4278,-112.0039,1900,0,0,0,70.83,85.24,56.42,5.39,112,50,88,22,7.12,7.12,4.11,8.22,1.7,1.73,4.91
"1901-12-31","USW00023183",33.4278,-112.0039,1901,0,0,0,70.67,85.26,56.08,4.87,112,51,86,24,8.77,10.96,9.86,12.05,0.51,1,4.38
"1902-12-31","USW00023183",33.4278,-112.0039,1902,0,0,0,70.32,84.71,55.92,6.88,116,49,85,30,6.58,9.86,13.7,13.7,1.16,1.89,5.95
"1903-12-31","USW00023183",33.4278,-112.0039,1903,0,0,0,69.8,84.28,55.32,6.61,111,46,84,27,9.86,11.78,10.68,16.71,1.46,2.97,5.7
"1904-12-31","USW00023183",33.4278,-112.0039,1904,0,0,0,70.38,85.24,55.51,5.57,112,49,84,25,5.21,7.4,9.86,14.79,1.19,1.26,5.06
"1905-12-31","USW00023183",33.4278,-112.0039,1905,0,0,0,69.6,82.55,56.65,19.73,116,50,82,26,7.95,8.77,16.44,6.85,1.51,2.88,18.48
"1906-12-31","USW00023183",33.4278,-112.0039,1906,0,0,0,69.75,83.52,55.99,8.55,112,47,87,24,7.12,8.49,16.16,10.96,1.18,1.56,8.14
"1907-12-31","USW00023183",33.4278,-112.0039,1907,0,0,0,69.71,83.24,56.18,8.17,117,49,86,30,5.48,8.22,11.23,9.04,1.1,1.73,7.11
"1908-12-31","USW00023183",33.4278,-112.0039,1908,0,0,0,69.09,82.88,55.3,10.76,111,52,82,30,4.11,9.04,12.33,10.96,1.31,2.5,10.1
"1909-12-31","USW00023183",33.4278,-112.0039,1909,0,0,0,68.87,82.57,55.17,6.17,110,45,84,25,3.01,6.85,15.89,12.33,0.78,1.21,5.15
"1910-12-31","USW00023183",33.4278,-112.0039,1910,0,0,0,71.6,85.87,57.33,4.32,114,43,84,23,7.67,11.51,10.14,9.04,0.96,1.2,3.63
"1911-12-31","USW00023183",33.4278,-112.0039,1911,0,0,0,69.02,82.62,55.42,14.04,109,48,83,22,3.01,6.58,13.42,14.25,2.81,5.49,13.53
"1912-12-31","USW00023183",33.4278,-112.0039,1912,0,0,0,68.17,81.95,54.4,6.87,111,53,82,26,3.29,4.66,12.33,13.15,0.98,1.23,6.44
"1913-12-31","USW00023183",33.4278,-112.0039,1913,0,0,0,68.11,81.43,54.78,5.39,110,39,84,16,1.92,4.93,18.9,13.7,0.81,1.5,4.25
"1914-12-31","USW00023183",33.4278,-112.0039,1914,0,0,0,70.93,83.61,58.25,8.98,110,51,85,28,3.29,11.51,13.15,7.95,1.29,1.98,8.06
"1915-12-31","USW00023183",33.4278,-112.0039,1915,0,0,2,68.73,82.05,55.41,9.41,111,47,81,27,3.56,7.12,18.63,12.6,1.5,1.97,8.51
"1916-12-31","USW00023183",33.4278,-112.0039,1916,0,0,0,68.88,83.22,54.53,6.76,111,43,83,24,4.11,5.75,13.97,15.34,1.11,2.06,6.03
"1917-12-31","USW00023183",33.4278,-112.0039,1917,0,0,0,68.94,84.61,53.26,9.6,112,45,83,29,7.95,6.58,10.14,19.73,2.05,3.48,9.27
"1918-12-31","USW00023183",33.4278,-112.0039,1918,0,0,0,69.17,83.53,54.82,11.1,114,46,84,27,4.66,5.75,15.34,16.16,2.01,2.82,10.17
"1919-12-31","USW00023183",33.4278,-112.0039,1919,0,0,0,69,83.26,54.75,10.31,113,40,83,23,6.58,9.04,12.88,18.63,1.48,1.87,9.44
"1920-12-31","USW00023183",33.4278,-112.0039,1920,0,0,0,68.96,83.55,54.37,6.21,114,50,84,28,7.12,5.75,11.23,12.88,0.61,1.15,5.46
"1921-12-31","USW00023183",33.4278,-112.0039,1921,0,0,0,70.78,85.64,55.91,3.85,110,54,86,27,6.85,8.22,6.03,12.05,0.72,1.58,2.86
"1922-12-31","USW00023183",33.4278,-112.0039,1922,0,0,0,69.45,83.93,54.96,5.87,114,48,83,24,8.49,10.41,13.97,18.63,0.72,1.09,5.21
"1923-12-31","USW00023183",33.4278,-112.0039,1923,0,0,1,69.22,83.08,55.37,9.63,112,48,85,29,3.56,7.4,12.05,10.14,2.24,2.4,8.72
"1924-12-31","USW00023183",33.4278,-112.0039,1924,0,0,0,70.59,85.59,55.58,3.03,112,46,83,28,10.41,12.6,10.68,13.97,0.64,0.64,2.6
"1925-12-31","USW00023183",33.4278,-112.0039,1925,0,0,0,71.38,86.05,56.71,4.16,118,53,88,26,8.77,11.51,7.4,13.42,0.68,0.92,3.32
"1926-12-31","USW00023183",33.4278,-112.0039,1926,0,0,0,71,85.11,56.9,13.97,113,48,85,26,6.3,11.23,10.41,11.78,2.62,2.86,12.84
"1927-12-31","USW00023183",33.4278,-112.0039,1927,0,0,0,70.76,84.91,56.62,5.73,112,56,83,28,7.12,10.96,10.96,8.49,0.87,0.98,4.48
"1928-12-31","USW00023183",33.4278,-112.0039,1928,0,0,0,71.27,85.66,56.88,6.19,112,53,86,28,8.49,10.96,9.04,12.88,0.92,1.11,5.58
"1929-12-31","USW00023183",33.4278,-112.0039,1929,0,0,0,70.85,85.23,56.47,5.04,118,48,86,27,10.14,14.25,9.32,14.52,0.97,1.58,4
"1930-12-31","USW00023183",33.4278,-112.0039,1930,0,0,0,70.83,84.75,56.91,7.77,113,51,86,28,9.32,12.88,12.33,9.04,0.81,1.51,6.8
"1931-12-31","USW00023183",33.4278,-112.0039,1931,0,0,0,72.03,85.32,58.74,10.32,114,50,87,27,12.05,18.08,16.16,13.15,1.41,2.83,9.83
"1932-12-31","USW00023183",33.4278,-112.0039,1932,0,0,0,71,85.01,56.98,6.67,113,48,87,27,15.34,16.44,17.53,12.33,1.04,1.69,5.85
"1933-12-31","USW00023183",33.4278,-112.0039,1933,0,0,0,71.25,85.38,57.12,7.1,115,48,89,24,15.34,19.45,12.6,15.34,1.33,1.89,6.17
"1934-12-31","USW00023183",33.4278,-112.0039,1934,0,0,0,74.17,88.4,59.93,5.87,116,55,90,30,11.23,16.16,5.21,8.77,0.75,1.26,5.18
"1935-12-31","USW00023183",33.4278,-112.0039,1935,0,0,0,70.99,84.33,57.65,10.33,112,45,86,26,12.05,12.6,13.42,7.12,0.92,2.61,9.58
"1936-12-31","USW00023183",33.4278,-112.0039,1936,0,0,0,72.97,86.86,59.07,8.29,114,54,91,30,13.97,17.53,9.04,9.59,1.23,2.42,7.58
